training_loss,validation_loss,training_accuracy,validation_accuracy
0.6981145739555359,0.695512592792511,0.5049505233764648,0.5
0.6912640333175659,0.6941448450088501,0.5544554591178894,0.5
0.6929963827133179,0.6940325498580933,0.5742574334144592,0.5
0.6887224316596985,0.6946146488189697,0.594059407711029,0.5
0.6903969049453735,0.6948665976524353,0.5247524976730347,0.4545454680919647
0.6876897811889648,0.6954727172851562,0.5544554591178894,0.40909090638160706
0.6869984865188599,0.6969457864761353,0.594059407711029,0.40909090638160706
0.6722179651260376,0.6984248161315918,0.7227723002433777,0.4545454680919647
0.6641891002655029,0.7024074792861938,0.7425742745399475,0.3181818127632141
0.6495543122291565,0.707109272480011,0.7128713130950928,0.3636363744735718
0.6252714991569519,0.7241429686546326,0.7128713130950928,0.5
0.5951807498931885,0.7523338198661804,0.6831682920455933,0.5
0.5648953914642334,0.7529758810997009,0.6831682920455933,0.3636363744735718
0.5037834644317627,0.7718227505683899,0.801980197429657,0.40909090638160706
0.43826863169670105,0.8422832489013672,0.8514851331710815,0.40909090638160706
0.3786085546016693,0.8633508682250977,0.8514851331710815,0.40909090638160706
0.3438965678215027,0.944152295589447,0.8613861203193665,0.40909090638160706
0.299620121717453,1.0289113521575928,0.8712871074676514,0.40909090638160706
0.2410479635000229,1.041212797164917,0.9405940771102905,0.40909090638160706
0.2131347507238388,1.2527285814285278,0.9108911156654358,0.3636363744735718
0.18470920622348785,1.1974334716796875,0.9504950642585754,0.40909090638160706
0.14735372364521027,1.3388692140579224,0.9702970385551453,0.3636363744735718
0.12083883583545685,1.3294639587402344,0.9702970385551453,0.40909090638160706
0.11888306587934494,1.5554149150848389,0.9801980257034302,0.3636363744735718
0.10366707295179367,1.494817852973938,0.9702970385551453,0.40909090638160706
0.07534359395503998,1.4759418964385986,0.9900990128517151,0.40909090638160706
0.0647004246711731,1.5360127687454224,1.0,0.40909090638160706
0.05735241621732712,1.6582093238830566,0.9900990128517151,0.40909090638160706
0.06310281902551651,1.8952714204788208,0.9900990128517151,0.3636363744735718
0.0596514567732811,1.5503195524215698,0.9900990128517151,0.5
0.048010557889938354,2.031879186630249,0.9900990128517151,0.3181818127632141
0.04547664523124695,1.6216239929199219,0.9900990128517151,0.5
0.04314826801419258,2.184480667114258,1.0,0.3181818127632141
0.04908403381705284,1.8347262144088745,0.9801980257034302,0.4545454680919647
0.03905308246612549,2.1390793323516846,1.0,0.3181818127632141
0.04293664172291756,2.3145029544830322,0.9900990128517151,0.3181818127632141
0.04337447136640549,2.2275288105010986,0.9801980257034302,0.3181818127632141
0.03827811777591705,2.138091564178467,0.9900990128517151,0.40909090638160706
0.04156746715307236,2.1211512088775635,0.9900990128517151,0.4545454680919647
0.04509321600198746,2.8256726264953613,1.0,0.3636363744735718
0.04411084204912186,2.1721646785736084,0.9801980257034302,0.4545454680919647
0.052386991679668427,2.8694872856140137,0.9900990128517151,0.3181818127632141
0.04235191270709038,2.085306167602539,0.9801980257034302,0.5
0.05348958075046539,3.0813193321228027,0.9900990128517151,0.3181818127632141
0.045053426176309586,2.303093194961548,0.9702970385551453,0.4545454680919647
0.06356429308652878,2.9889135360717773,0.9900990128517151,0.3181818127632141
0.06217975914478302,3.2911200523376465,0.9702970385551453,0.3181818127632141
0.04908490553498268,2.174509286880493,0.9801980257034302,0.40909090638160706
0.11887329071760178,3.7639222145080566,0.9306930899620056,0.40909090638160706
0.07051747292280197,2.2111189365386963,0.9801980257034302,0.5454545617103577
